timestamp,x,y,z
1776727848.2143834,0.069964,-0.026403,0.869343
1776727851.010732,0.216140,0.436965,1.049073
1776727853.2302651,0.270132,0.871789,1.066684
1776727855.32921,0.253075,1.275912,1.040328
1776727857.38438,0.273863,1.703329,1.021200
1776727859.4399917,0.487211,1.823895,1.008315
1776727861.5600042,0.847327,1.753543,1.006576
1776727863.660704,1.275521,1.762249,1.005911
1776727865.7555804,1.631997,1.855441,0.994342
1776727867.9104035,1.800108,1.825941,1.286460
1776727869.962682,1.818043,1.767005,1.722939
