timestamp,x,y,z
1778883182.1858213,0.034259,-0.094019,0.427123
1778883184.9397998,0.474174,0.091987,0.431555
1778883187.0508087,0.875008,0.139954,0.422136
1778883189.15883,1.070495,0.169033,0.701869
1778883191.2102058,1.069940,0.154515,1.122905
1778883193.2082694,1.299394,0.158523,1.283466
1778883195.259895,1.702869,0.175773,1.245603
1778883197.4595313,1.869923,0.225560,0.941910
1778883199.5602148,1.883402,0.182994,0.491286
1778883201.995391,1.917489,0.478975,0.353780
1778883204.3177862,1.894825,0.865079,0.375132
1778883206.418308,1.883920,1.258695,0.382610
1778883208.5181153,1.841911,1.671551,0.403619
1778883210.667986,1.850750,1.866856,0.668512
1778883212.7689831,1.865216,1.851321,1.107505
1778883214.81863,1.863473,1.888197,1.553257
1778883216.8195546,1.869105,1.775782,1.959225
