timestamp,x,y,z
1776900276.8244247,0.169819,-0.062134,0.869629
1776900279.1946304,0.514286,0.064186,1.045103
1776900281.1981404,0.914300,0.150139,1.089186
1776900283.2613845,1.122063,0.156773,1.319897
1776900285.3095539,1.151546,0.125029,1.748917
1776900288.4741135,0.768116,0.172065,1.852455
1776900291.3575282,0.366068,0.211083,1.818101
1776900293.6143441,0.344536,0.508118,1.821086
1776900295.952685,0.353373,0.911554,1.808575
1776900298.533936,0.334471,1.284644,1.802363
1776900300.9976494,0.303714,1.658021,1.803726
1776900302.9238582,0.558987,1.723365,1.806393
1776900304.8570247,0.967748,1.714328,1.798006
1776900306.928513,1.354982,1.733086,1.800397
1776900308.9583223,1.722788,1.740264,1.797013
