timestamp,x,y,z
1776725832.7814302,0.072207,-0.057667,1.093074
1776725836.3639274,0.277825,0.628513,0.873786
1776725839.1985219,0.317556,1.134429,0.820445
1776725841.9529188,0.317023,1.647938,0.811474
1776725844.4080758,0.611656,1.715076,0.803172
1776725846.9932868,1.118131,1.724834,0.803440
1776725849.5548522,1.614088,1.746749,0.796131
